id,name,provider,provider_type,level,coverage,stipend,eligibility,deadline,link,popular_score

1,Global Korea Scholarship (GKS),Korean Government,Government,Both,Full,1000000,International students worldwide,Spring & Fall cycles,https://www.studyinkorea.go.kr,100
2,KAIST International Scholarship,KAIST University,University,Both,Full,350000,STEM international students,Admission based,https://www.kaist.ac.kr,95
3,Yonsei Global Leader Scholarship,Yonsei University,University,Undergraduate,Partial,,Leadership & merit-based students,Before semester start,https://www.yonsei.ac.kr,90
4,Korea University Global KU Scholarship,Korea University,University,Both,Partial,,High academic performance,Rolling,https://www.korea.edu,88
5,SNU President Fellowship,Seoul National University,University,Graduate,Full,1500000,Outstanding graduate applicants,Annual,https://en.snu.ac.kr,92
6,POSTECH Graduate Fellowship,POSTECH University,University,Graduate,Full,1400000,Science & engineering students,Admission cycle,https://www.postech.ac.kr,91
7,Ewha Global Scholarship,Ewha Womans University,University,Undergraduate,Partial,,Female international students,Semester based,https://www.ewha.ac.kr,85
8,HUFS International Excellence Award,Hankuk University of Foreign Studies,University,Both,Partial,,Language & global studies students,Rolling,https://www.hufs.ac.kr,84
9,KDU Global Campus Scholarship,Kyungdong University,University,Undergraduate,Partial,,International Global Campus students,Per intake,https://www.kduniv.ac.kr,80
10,Busan National University Scholarship,Pusan National University,University,Both,Partial,,Merit-based international students,Semester start,https://www.pusan.ac.kr,82
11,Inha University Global Vision Scholarship,Inha University,University,Undergraduate,Partial,,Engineering & aviation students,Admission round,https://www.inha.ac.kr,83
12,Ajou University Excellence Scholarship,Ajou University,University,Both,Partial,,STEM & research-focused students,Rolling,https://www.ajou.ac.kr,84
13,Sungkyunkwan University SKKU Scholarship,SKKU,University,Both,Partial,,Academic excellence,Semester based,https://www.skku.edu,87
14,Hanyang Global Talent Scholarship,Hanyang University,University,Both,Partial,,Engineering & innovation focus,Admission round,https://www.hanyang.ac.kr,89
15,UNIST Graduate Research Fellowship,UNIST University,University,Graduate,Full,1300000,Science & technology researchers,Admission cycle,https://www.unist.ac.kr,88
16,GIST International Scholarship,GIST University,University,Graduate,Full,1400000,Research-driven applicants,Annual,https://www.gist.ac.kr,87
17,Korean Government IT Scholarship,MSIT Korea,Government,Graduate,Full,1200000,ICT & AI focused students,Annual,https://www.msit.go.kr,86
